probMove 0.015 time 5400 win rate 0.5884244372990354 , total bet matches 311 , pnl 38.690000000000005 , per match return 0.12440514469453377
probMove 0.02 time 5400 win rate 0.5980861244019139 , total bet matches 209 , pnl 29.649999999999995 , per match return 0.14186602870813395
probMove 0.025 time 5400 win rate 0.6218487394957983 , total bet matches 119 , pnl 21.409999999999997 , per match return 0.1799159663865546
probMove 0.03 time 5400 win rate 0.6276595744680851 , total bet matches 94 , pnl 18.479999999999997 , per match return 0.19659574468085103
probMove 0.035 time 5400 win rate 0.6153846153846154 , total bet matches 65 , pnl 11.570000000000002 , per match return 0.17800000000000002
probMove 0.04 time 5400 win rate 0.6271186440677966 , total bet matches 59 , pnl 11.749999999999998 , per match return 0.19915254237288132
probMove 0.055 time 7200 win rate 0.6 , total bet matches 50 , pnl 7.66 , per match return 0.1532
probMove 0.055 time 9000 win rate 0.6078431372549019 , total bet matches 51 , pnl 8.18 , per match return 0.1603921568627451
probMove 0.045 time 10800 win rate 0.5866666666666667 , total bet matches 75 , pnl 8.3 , per match return 0.11066666666666668
probMove 0.055 time 10800 win rate 0.6153846153846154 , total bet matches 52 , pnl 9.11 , per match return 0.17519230769230767
probMove 0.055 time 12600 win rate 0.5925925925925926 , total bet matches 54 , pnl 7.9 , per match return 0.1462962962962963
probMove 0.055 time 14400 win rate 0.603448275862069 , total bet matches 58 , pnl 8.77 , per match return 0.15120689655172412
probMove 0.055 time 16200 win rate 0.5964912280701754 , total bet matches 57 , pnl 7.48 , per match return 0.1312280701754386
probMove 0.045 time 18000 win rate 0.5897435897435898 , total bet matches 78 , pnl 8.36 , per match return 0.10717948717948718
probMove 0.055 time 18000 win rate 0.6111111111111112 , total bet matches 54 , pnl 8.639999999999999 , per match return 0.15999999999999998
probMove 0.045 time 19800 win rate 0.6 , total bet matches 80 , pnl 9.97 , per match return 0.12462500000000001
probMove 0.05 time 19800 win rate 0.5970149253731343 , total bet matches 67 , pnl 7.59 , per match return 0.11328358208955223
probMove 0.055 time 19800 win rate 0.6140350877192983 , total bet matches 57 , pnl 9.250000000000002 , per match return 0.162280701754386
probMove 0.045 time 21600 win rate 0.6049382716049383 , total bet matches 81 , pnl 10.51 , per match return 0.12975308641975308
probMove 0.05 time 21600 win rate 0.6029411764705882 , total bet matches 68 , pnl 8.13 , per match return 0.11955882352941177
probMove 0.055 time 21600 win rate 0.6206896551724138 , total bet matches 58 , pnl 9.790000000000001 , per match return 0.1687931034482759
probMove 0.015 time 32400 win rate 0.5458996328029376 , total bet matches 817 , pnl 26.789999999999967 , per match return 0.03279069767441856
probMove 0.015 time 36000 win rate 0.5410447761194029 , total bet matches 804 , pnl 25.039999999999985 , per match return 0.031144278606965156